country,sales_exposure,claims,units_sold,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index,group_type
Austria,13771,448,75965,3.253213274272021,0.36915251672539506,43.320012448142585,country
United States,207728,6086,1144783,2.9297928059770473,0.04573204843042156,20.843381358326514,country
Netherlands,14009,428,76764,3.0551788136198157,0.17111805607318997,20.253468347465127,country
UAE,69395,2046,381972,2.9483392175228764,0.0642784599762507,16.932830192618624,country
Taiwan,13982,419,77518,2.9967100557860107,0.11264929823938497,13.320273418908252,country
Canada,69468,2035,381212,2.929406345367651,0.04534558782102538,11.95163809510106,country
United Kingdom,55527,1624,304861,2.9247032974949123,0.04064253994828659,9.577076276182156,country
Australia,97280,2827,535623,2.9060444078947367,0.021983650348111006,6.85664380451923,country
Japan,83697,2417,460325,2.887797651050814,0.0037368935041883766,1.081099501498602,country
Singapore,41491,1198,227828,2.887373165264756,0.003312407718130128,0.6747155805061815,country
France,55119,1585,302785,2.8755964368003775,-0.008464320746248255,-1.987205483990778,country
Mexico,41414,1186,227917,2.8637658762737237,-0.02029488127290202,-4.1300956011167065,country
Germany,41977,1201,230567,2.8610905972318172,-0.022970160314808474,-4.706192906713841,country
South Korea,27912,782,153849,2.801662367440527,-0.0823983901060985,-13.766204118973661,country
Thailand,41533,1159,227858,2.7905520911082755,-0.09350866643835021,-19.05673586280802,country
Colombia,27524,752,150569,2.7321610231071065,-0.1518997344395192,-25.200710725704738,country
Italy,27665,754,151626,2.725465389481294,-0.1585953680653316,-26.378848670880963,country
China,97022,2713,534345,2.796273010245099,-0.0877877473015265,-27.344438905333483,country
Spain,13686,340,74977,2.4842905158556188,-0.39977024169100694,-46.767992737502816,country
