store_name,sales_exposure,claims,units_sold,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index,group_type
Apple Kaerntner Strasse,13771,448,75965,3.253213274272021,0.36915251672539506,43.320012448142585,store_name
Apple Beijing SKP,13993,453,77482,3.237332952190381,0.35327219464375537,41.78927853425154,store_name
Apple Downtown Brooklyn,13723,440,75602,3.2062959994170375,0.32223524187041175,37.748314767554184,store_name
Apple Shinjuku,13817,442,75892,3.198957805601795,0.3148970480551694,37.01480520851243,store_name
Apple Regent Street,13788,437,75545,3.1694226863939656,0.2853619288473399,33.507858225262915,store_name
Apple Beverly Center,13575,428,75010,3.152854511970534,0.2687937544239083,31.317644688176216,store_name
Apple The Dubai Mall,27742,849,152404,3.0603417201355345,0.1762809625889088,29.361233511735083,store_name
Apple Rideau Centre,13879,434,75614,3.127026442827293,0.2429656852806672,28.623585168590722,store_name
Apple SoHo,14059,436,77186,3.1012163027242337,0.21715554517760793,25.74827502060399,store_name
Apple Leidseplein,14009,428,76764,3.0551788136198157,0.17111805607318997,20.253468347465127,store_name
Apple Brompton Road,13936,425,76571,3.049655568312285,0.16559481076565907,19.54860593210271,store_name
Apple Fifth Avenue,14057,426,77689,3.0305186028313296,0.14645784528470385,17.36436726637413,store_name
Apple Dubai Mall,14113,427,77571,3.0255792531708354,0.1415184956242097,16.812135206825307,store_name
Apple Michigan Avenue,13814,417,75946,3.01867670479224,0.1346159472456141,15.821812640612588,store_name
Apple Via Santa Fe,13790,414,76158,3.002175489485134,0.1181147319385083,13.870311090004046,store_name
Apple Taipei 101,13982,419,77518,2.9967100557860107,0.11264929823938497,13.320273418908252,store_name
Apple Yorkdale,13926,414,76662,2.972856527358897,0.08879576981227144,10.47865331735188,store_name
Apple Bondi,13877,412,76518,2.968941413850256,0.08488065630363018,9.99899895631068,store_name
Apple Brisbane,13850,410,76403,2.96028880866426,0.07622805111763409,8.970976173980064,store_name
Apple Ala Moana,13887,411,76479,2.959602505940808,0.07554174839418248,8.90207502251575,store_name
Apple Park Visitor Center,13785,407,75449,2.9524845846935075,0.06842382714688178,8.033610046166189,store_name
Apple Orchard Road,27487,806,151116,2.932295266853422,0.04823450930679618,7.996897619659065,store_name
Apple Highpoint,14004,413,76661,2.9491573836046845,0.06509662605805877,7.703436922627126,store_name
Apple Kumamoto,13982,412,76461,2.946645687312259,0.06258492976563312,7.400386770362843,store_name
Apple Southland,14057,414,77795,2.9451518816248132,0.06109112407818751,7.243099290086793,store_name
Apple Champs-Elysees,27391,801,149913,2.9243182067102333,0.04025744916360763,6.662699053737753,store_name
Apple Yas Mall,13776,405,76230,2.9398954703832754,0.05583471283664965,6.55338758280207,store_name
Apple Kyoto,14018,412,77062,2.9390783278641743,0.055017570317548614,6.513950215179367,store_name
Apple Andino,13679,400,74545,2.924190364792748,0.040129607246122134,4.693448794004421,store_name
Apple Eaton Centre,13927,407,76771,2.922380986572844,0.03832022902621812,4.522274120413749,store_name
Apple The Grove,13897,405,76651,2.914298049938836,0.03023729239221007,3.5645394723993773,store_name
