product_name,sales_exposure,claims,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index
MacBook Pro (Touch Bar),11566,381,3.294137990662286,0.41007723311566036,44.1018951648062
iPhone 13 Pro,11551,367,3.177214094017834,0.29315333647120845,31.506824462030636
Beats Fit Pro,11706,370,3.1607722535451903,0.2767114959985646,29.93859823238124
Apple TV+,11647,368,3.1596119172319055,0.27555115968527977,29.73783044138649
Smart Cover for iPad,11808,370,3.1334688346883466,0.24940807714172086,27.101834340966832
iPhone 13 Pro Max,11888,372,3.1292059219380883,0.2451451643914626,26.728693393285443
MagSafe Charger,11693,366,3.130077824339348,0.24601706679272217,26.60285277772809
Apple Watch Series 9,11806,367,3.108588853125529,0.2245280955789033,24.396194221739535
Beats Studio Buds,11642,361,3.1008417797629275,0.2167810222163018,23.390260429661552
iPad Air (4th Generation),11666,361,3.0944625407166124,0.2104017831699867,22.725340663512846
